"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Gene"
"12090",2,0,0,0,3,1,0,0,0,0,"Trpc3"
"12091",0,0,0,1,0,2,0,1,0,0,"Trpc4"
"12092",7,10,10,6,4,10,14,1,11,5,"Trpc4ap"
"12093",0,0,0,0,0,1,0,0,0,0,"Trpc5"
"12094",0,0,0,0,1,0,0,0,1,0,"Trpm2"
"12095",1,0,0,0,0,0,1,0,1,1,"Trpm3"
"12096",0,0,0,0,0,0,0,0,0,0,"Trpm4"
"12097",0,0,0,0,0,3,0,0,0,0,"Trpm6"
"12098",1,2,0,0,0,3,1,2,0,6,"Trpm7"
"12099",0,0,0,0,0,1,3,1,0,3,"Trps1"
"12100",3,0,3,1,0,1,1,0,0,0,"Trpt1"
"12101",1,0,0,0,0,4,1,4,2,1,"Trpv2"
"12102",0,0,0,0,0,1,0,1,0,0,"Trpv4"
"12103",0,1,0,2,0,0,3,3,1,2,"Trrap"
"12104",0,2,0,1,0,0,2,1,0,3,"Trub1"
"12105",3,2,2,1,2,2,1,1,2,1,"Trub2"
"12106",0,2,2,2,5,0,0,1,0,2,"Tsc1"
"12107",5,2,7,4,2,3,4,4,0,0,"Tsc2"
"12108",40,17,60,47,31,45,72,86,58,32,"Tsc22d1"
"12109",2,0,4,0,0,2,0,0,0,0,"Tsc22d2"
"12110",5,11,2,12,13,28,8,5,13,9,"Tsc22d3"
"12111",3,10,18,19,15,3,12,15,15,4,"Tsc22d4"
"12112",0,3,0,2,1,2,0,0,0,1,"Tsen15"
"12113",0,1,1,0,0,0,0,0,0,0,"Tsen2"
"12114",4,1,2,5,3,1,4,3,5,6,"Tsen34"
"12115",0,0,1,1,2,1,0,0,0,0,"Tsen54"
"12116",0,0,1,0,3,1,0,2,2,4,"Tsfm"
"12117",2,0,4,2,0,7,2,0,5,5,"Tsg101"
"12118",0,0,1,0,0,0,0,1,0,0,"Tsga10"
"12119",0,0,0,0,3,0,1,0,0,0,"Tsga14"
"12120",0,0,2,1,2,2,1,1,0,1,"Tshz1"
"12121",0,1,0,1,0,0,0,1,0,0,"Tshz2"
"12122",0,0,0,1,0,0,0,0,0,0,"Tshz3"
"12123",0,1,0,1,0,0,3,0,0,0,"Tsku"
"12124",8,5,0,8,6,4,4,11,1,12,"Tsn"
"12125",8,5,4,3,7,3,7,6,2,8,"Tsnax"
"12126",2,3,8,4,3,7,8,2,6,9,"Tspan12"
"12127",12,4,14,15,14,19,16,16,5,19,"Tspan13"
"12128",5,16,4,7,6,9,2,11,18,8,"Tspan14"
"12129",7,1,11,6,4,0,1,5,2,8,"Tspan15"
"12130",1,3,3,4,3,0,0,4,3,1,"Tspan17"
"12131",1,0,0,0,0,4,1,0,0,0,"Tspan18"
"12132",34,50,48,27,15,34,27,47,25,31,"Tspan2"
"12133",24,78,42,79,51,21,36,56,55,61,"Tspan3"
"12134",11,17,16,9,6,16,11,8,9,6,"Tspan31"
"12135",1,0,1,2,4,0,3,1,1,3,"Tspan33"
"12136",2,5,2,12,3,7,0,1,9,0,"Tspan4"
"12137",7,3,7,2,3,2,7,2,3,2,"Tspan5"
"12138",15,4,15,12,12,7,17,7,10,3,"Tspan6"
"12139",74,99,52,67,40,28,62,79,100,116,"Tspan7"
"12140",5,4,17,7,5,8,7,9,8,7,"Tspan9"
"12141",0,0,0,0,2,0,0,1,0,1,"Tspo"
"12142",0,0,0,0,0,0,0,0,0,0,"Tspo2"
"12143",6,6,5,2,2,4,7,10,5,5,"Tspyl1"
"12144",2,2,0,5,4,2,3,4,3,7,"Tspyl2"
"12145",1,2,0,1,0,1,2,1,0,2,"Tspyl3"
"12146",4,3,2,3,6,1,9,6,2,8,"Tspyl4"
"12147",2,2,0,0,1,0,0,0,0,0,"Tspyl5"
"12148",2,2,0,1,0,0,0,0,1,1,"Tsr1"
"12149",0,3,3,0,5,1,2,2,1,0,"Tsr2"
"12150",0,6,7,0,3,3,2,2,0,3,"Tssc1"
"12151",10,4,4,5,0,3,3,2,7,5,"Tssc4"
"12152",2,7,3,2,1,5,6,5,2,7,"Tst"
"12153",5,7,2,4,4,0,4,1,8,2,"Tsta3"
"12154",0,1,0,4,3,1,2,0,1,0,"Tstd2"
"12155",0,3,0,0,1,0,0,0,0,2,"Ttbk1"
"12156",3,1,1,0,0,1,0,0,2,0,"Ttbk2"
"12157",2,0,2,2,1,2,0,7,7,1,"Ttc1"
"12158",0,0,1,0,0,0,1,0,0,0,"Ttc12"
"12159",0,1,1,0,0,4,0,1,0,1,"Ttc13"
"12160",2,5,4,4,2,3,0,4,1,0,"Ttc14"
"12161",2,3,1,4,0,6,4,2,2,2,"Ttc15"
"12162",1,0,0,0,0,3,0,3,4,1,"Ttc17"
"12163",1,0,2,0,1,0,2,1,0,2,"Ttc19"
"12164",0,0,0,0,0,0,1,0,5,1,"Ttc21b"
"12165",0,1,0,1,0,1,0,1,0,0,"Ttc23"
